sequence,case,region,metric,on,off,on_minus_off
20200709-subject-01/20200709_142123,natural,geometry_focus_proxy,pixels,1193.8125,1193.8125,0.0
20200709-subject-01/20200709_142446,natural,geometry_focus_proxy,pixels,6384.9375,6384.9375,0.0
20200709-subject-01/20200709_142802,natural,geometry_focus_proxy,pixels,257.17391304347825,257.17391304347825,0.0
20200709-subject-01/20200709_143125,natural,geometry_focus_proxy,pixels,1138.78125,1138.78125,0.0
20200709-subject-01/20200709_143531,natural,geometry_focus_proxy,pixels,1571.4375,1571.4375,0.0
20200709-subject-01/20200709_143907,natural,geometry_focus_proxy,pixels,1273.095238095238,1273.095238095238,0.0
20200709-subject-01/20200709_144313,natural,geometry_focus_proxy,pixels,580.3846153846154,580.3846153846154,0.0
20200709-subject-01/20200709_144735,natural,geometry_focus_proxy,pixels,3648.90625,3648.90625,0.0
20200709-subject-01/20200709_145132,natural,geometry_focus_proxy,pixels,178.2,178.2,0.0
20200709-subject-01/20200709_145743,natural,geometry_focus_proxy,pixels,1345.34375,1345.34375,0.0
20200709-subject-01/20200709_150144,natural,geometry_focus_proxy,pixels,109.15384615384616,109.15384615384616,0.0
20200709-subject-01/20200709_150524,natural,geometry_focus_proxy,pixels,855.15625,855.15625,0.0
20200709-subject-01/20200709_150906,natural,geometry_focus_proxy,pixels,342.6,342.6,0.0
20200709-subject-01/20200709_151246,natural,geometry_focus_proxy,pixels,300.0,300.0,0.0
20200709-subject-01/20200709_151632,natural,geometry_focus_proxy,pixels,82.93333333333334,82.93333333333334,0.0
20200709-subject-01/20200709_152420,natural,geometry_focus_proxy,pixels,303.4375,303.4375,0.0
20200709-subject-01/20200709_152757,natural,geometry_focus_proxy,pixels,18.903225806451612,18.903225806451612,0.0
20200709-subject-01/20200709_153148,natural,geometry_focus_proxy,pixels,383.52941176470586,383.52941176470586,0.0
20200709-subject-01/20200709_153548,natural,geometry_focus_proxy,pixels,76.0,76.0,0.0
20200813-subject-02/20200813_145612,natural,geometry_focus_proxy,pixels,790.0454545454545,790.0454545454545,0.0
20200813-subject-02/20200813_145920,natural,geometry_focus_proxy,pixels,267.25,267.25,0.0
20200813-subject-02/20200813_150228,natural,geometry_focus_proxy,pixels,111.54545454545455,111.54545454545455,0.0
20200813-subject-02/20200813_150535,natural,geometry_focus_proxy,pixels,1916.0434782608695,1916.0434782608695,0.0
20200813-subject-02/20200813_150823,natural,geometry_focus_proxy,pixels,36.8125,36.8125,0.0
20200813-subject-02/20200813_151117,natural,geometry_focus_proxy,pixels,1206.8823529411766,1206.8823529411766,0.0
20200813-subject-02/20200813_151925,natural,geometry_focus_proxy,pixels,112.2,112.2,0.0
20200813-subject-02/20200813_152215,natural,geometry_focus_proxy,pixels,614.4,614.4,0.0
20200813-subject-02/20200813_152513,natural,geometry_focus_proxy,pixels,8.0,8.0,0.0
20200813-subject-02/20200813_152842,natural,geometry_focus_proxy,pixels,16.0,16.0,0.0
20200813-subject-02/20200813_153152,natural,geometry_focus_proxy,pixels,220.0,220.0,0.0
