method,stream_id,object_id,physical_sequence,start,end,length,post_complete,censor_reason,reference_failed,stable_offset
residual,20200709-subject-01/20200709_142123/839512060362,1,20200709-subject-01/20200709_142123,1,39,39,True,,False,3
s0_l1,20200709-subject-01/20200709_142123/839512060362,1,20200709-subject-01/20200709_142123,1,39,39,True,,False,3
s0_l0,20200709-subject-01/20200709_142123/839512060362,1,20200709-subject-01/20200709_142123,1,39,39,True,,False,3
s1_l1,20200709-subject-01/20200709_142123/839512060362,1,20200709-subject-01/20200709_142123,1,39,39,True,,False,3
s1_l0,20200709-subject-01/20200709_142123/839512060362,1,20200709-subject-01/20200709_142123,1,39,39,True,,False,3
fp,20200709-subject-01/20200709_142123/839512060362,1,20200709-subject-01/20200709_142123,1,39,39,True,,False,3
residual,20200709-subject-01/20200709_142123/841412060263,1,20200709-subject-01/20200709_142123,19,73,55,False,stream_end,False,
s0_l1,20200709-subject-01/20200709_142123/841412060263,1,20200709-subject-01/20200709_142123,19,73,55,False,stream_end,False,
s0_l0,20200709-subject-01/20200709_142123/841412060263,1,20200709-subject-01/20200709_142123,19,73,55,False,stream_end,False,
s1_l1,20200709-subject-01/20200709_142123/841412060263,1,20200709-subject-01/20200709_142123,19,73,55,False,stream_end,False,
s1_l0,20200709-subject-01/20200709_142123/841412060263,1,20200709-subject-01/20200709_142123,19,73,55,False,stream_end,False,
fp,20200709-subject-01/20200709_142123/841412060263,1,20200709-subject-01/20200709_142123,19,73,55,False,stream_end,False,
residual,20200709-subject-01/20200709_142123/932122060857,1,20200709-subject-01/20200709_142123,27,42,16,True,,False,3
s0_l1,20200709-subject-01/20200709_142123/932122060857,1,20200709-subject-01/20200709_142123,27,42,16,True,,False,3
s0_l0,20200709-subject-01/20200709_142123/932122060857,1,20200709-subject-01/20200709_142123,27,42,16,True,,False,3
s1_l1,20200709-subject-01/20200709_142123/932122060857,1,20200709-subject-01/20200709_142123,27,42,16,True,,False,3
s1_l0,20200709-subject-01/20200709_142123/932122060857,1,20200709-subject-01/20200709_142123,27,42,16,True,,False,3
fp,20200709-subject-01/20200709_142123/932122060857,1,20200709-subject-01/20200709_142123,27,42,16,True,,False,3
residual,20200709-subject-01/20200709_142446/836212060125,2,20200709-subject-01/20200709_142446,1,49,49,True,,True,
s0_l1,20200709-subject-01/20200709_142446/836212060125,2,20200709-subject-01/20200709_142446,1,49,49,True,,True,
s0_l0,20200709-subject-01/20200709_142446/836212060125,2,20200709-subject-01/20200709_142446,1,49,49,True,,True,
s1_l1,20200709-subject-01/20200709_142446/836212060125,2,20200709-subject-01/20200709_142446,1,49,49,True,,True,
s1_l0,20200709-subject-01/20200709_142446/836212060125,2,20200709-subject-01/20200709_142446,1,49,49,True,,True,
fp,20200709-subject-01/20200709_142446/836212060125,2,20200709-subject-01/20200709_142446,1,49,49,True,,True,
residual,20200709-subject-01/20200709_142446/840412060917,2,20200709-subject-01/20200709_142446,35,35,1,True,,False,3
s0_l1,20200709-subject-01/20200709_142446/840412060917,2,20200709-subject-01/20200709_142446,35,35,1,True,,False,3
s0_l0,20200709-subject-01/20200709_142446/840412060917,2,20200709-subject-01/20200709_142446,35,35,1,True,,False,3
s1_l1,20200709-subject-01/20200709_142446/840412060917,2,20200709-subject-01/20200709_142446,35,35,1,True,,False,3
s1_l0,20200709-subject-01/20200709_142446/840412060917,2,20200709-subject-01/20200709_142446,35,35,1,True,,False,3
fp,20200709-subject-01/20200709_142446/840412060917,2,20200709-subject-01/20200709_142446,35,35,1,True,,False,3
residual,20200709-subject-01/20200709_142802/839512060362,3,20200709-subject-01/20200709_142802,47,71,25,False,stream_end,False,
s0_l1,20200709-subject-01/20200709_142802/839512060362,3,20200709-subject-01/20200709_142802,47,71,25,False,stream_end,False,
s0_l0,20200709-subject-01/20200709_142802/839512060362,3,20200709-subject-01/20200709_142802,47,71,25,False,stream_end,False,
s1_l1,20200709-subject-01/20200709_142802/839512060362,3,20200709-subject-01/20200709_142802,47,71,25,False,stream_end,False,
s1_l0,20200709-subject-01/20200709_142802/839512060362,3,20200709-subject-01/20200709_142802,47,71,25,False,stream_end,False,
fp,20200709-subject-01/20200709_142802/839512060362,3,20200709-subject-01/20200709_142802,47,71,25,False,stream_end,False,
residual,20200709-subject-01/20200709_143125/841412060263,4,20200709-subject-01/20200709_143125,17,30,14,True,,False,3
s0_l1,20200709-subject-01/20200709_143125/841412060263,4,20200709-subject-01/20200709_143125,17,30,14,True,,False,3
s0_l0,20200709-subject-01/20200709_143125/841412060263,4,20200709-subject-01/20200709_143125,17,30,14,True,,False,3
s1_l1,20200709-subject-01/20200709_143125/841412060263,4,20200709-subject-01/20200709_143125,17,30,14,True,,False,3
s1_l0,20200709-subject-01/20200709_143125/841412060263,4,20200709-subject-01/20200709_143125,17,30,14,True,,False,3
fp,20200709-subject-01/20200709_143125/841412060263,4,20200709-subject-01/20200709_143125,17,30,14,True,,False,
residual,20200709-subject-01/20200709_143531/836212060125,5,20200709-subject-01/20200709_143531,1,39,39,True,,False,
s0_l1,20200709-subject-01/20200709_143531/836212060125,5,20200709-subject-01/20200709_143531,1,39,39,True,,False,
s0_l0,20200709-subject-01/20200709_143531/836212060125,5,20200709-subject-01/20200709_143531,1,39,39,True,,False,
s1_l1,20200709-subject-01/20200709_143531/836212060125,5,20200709-subject-01/20200709_143531,1,39,39,True,,False,
s1_l0,20200709-subject-01/20200709_143531/836212060125,5,20200709-subject-01/20200709_143531,1,39,39,True,,False,
fp,20200709-subject-01/20200709_143531/836212060125,5,20200709-subject-01/20200709_143531,1,39,39,True,,False,3
residual,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,14,14,1,True,,False,3
s0_l1,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,14,14,1,True,,False,3
s0_l0,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,14,14,1,True,,False,3
s1_l1,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,14,14,1,True,,False,3
s1_l0,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,14,14,1,True,,False,3
fp,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,14,14,1,True,,False,3
residual,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,44,53,10,True,,False,3
s0_l1,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,44,53,10,True,,False,3
s0_l0,20200709-subject-01/20200709_143531/840412060917,5,20200709-subject-01/20200709_143531,44,53,10,True,,False,3
