population,metric,physical_sequence,object_id,method,frames,sum
all,add_01,20200709-subject-01/20200709_142123,1,residual,592,28500.0
all,add_01,20200709-subject-01/20200709_142123,1,s0_l1,592,28200.0
all,add_01,20200709-subject-01/20200709_142123,1,s0_l0,592,28400.0
all,add_01,20200709-subject-01/20200709_142123,1,s1_l1,592,27300.0
all,add_01,20200709-subject-01/20200709_142123,1,s1_l0,592,28700.0
all,add_01,20200709-subject-01/20200709_142123,1,fp,592,34100.0
all,add_01,20200709-subject-01/20200709_142446,2,residual,576,50000.0
all,add_01,20200709-subject-01/20200709_142446,2,s0_l1,576,50000.0
all,add_01,20200709-subject-01/20200709_142446,2,s0_l0,576,50000.0
all,add_01,20200709-subject-01/20200709_142446,2,s1_l1,576,50000.0
all,add_01,20200709-subject-01/20200709_142446,2,s1_l0,576,50000.0
all,add_01,20200709-subject-01/20200709_142446,2,fp,576,50000.0
all,add_01,20200709-subject-01/20200709_142802,3,residual,576,42900.0
all,add_01,20200709-subject-01/20200709_142802,3,s0_l1,576,42900.0
all,add_01,20200709-subject-01/20200709_142802,3,s0_l0,576,42900.0
all,add_01,20200709-subject-01/20200709_142802,3,s1_l1,576,42900.0
all,add_01,20200709-subject-01/20200709_142802,3,s1_l0,576,42900.0
all,add_01,20200709-subject-01/20200709_142802,3,fp,576,42900.0
all,add_01,20200709-subject-01/20200709_143125,4,residual,576,13200.0
all,add_01,20200709-subject-01/20200709_143125,4,s0_l1,576,12900.0
all,add_01,20200709-subject-01/20200709_143125,4,s0_l0,576,13000.0
all,add_01,20200709-subject-01/20200709_143125,4,s1_l1,576,13400.0
all,add_01,20200709-subject-01/20200709_143125,4,s1_l0,576,13400.0
all,add_01,20200709-subject-01/20200709_143125,4,fp,576,29400.0
all,add_01,20200709-subject-01/20200709_143531,5,residual,592,43300.0
all,add_01,20200709-subject-01/20200709_143531,5,s0_l1,592,43300.0
all,add_01,20200709-subject-01/20200709_143531,5,s0_l0,592,41800.0
all,add_01,20200709-subject-01/20200709_143531,5,s1_l1,592,43200.0
all,add_01,20200709-subject-01/20200709_143531,5,s1_l0,592,43200.0
all,add_01,20200709-subject-01/20200709_143531,5,fp,592,51100.0
all,add_01,20200709-subject-01/20200709_143907,6,residual,576,12000.0
all,add_01,20200709-subject-01/20200709_143907,6,s0_l1,576,10600.0
all,add_01,20200709-subject-01/20200709_143907,6,s0_l0,576,10000.0
all,add_01,20200709-subject-01/20200709_143907,6,s1_l1,576,10800.0
all,add_01,20200709-subject-01/20200709_143907,6,s1_l0,576,10900.0
all,add_01,20200709-subject-01/20200709_143907,6,fp,576,12100.0
all,add_01,20200709-subject-01/20200709_144313,7,residual,576,35200.0
all,add_01,20200709-subject-01/20200709_144313,7,s0_l1,576,35500.0
all,add_01,20200709-subject-01/20200709_144313,7,s0_l0,576,35500.0
all,add_01,20200709-subject-01/20200709_144313,7,s1_l1,576,35500.0
all,add_01,20200709-subject-01/20200709_144313,7,s1_l0,576,35500.0
all,add_01,20200709-subject-01/20200709_144313,7,fp,576,25900.0
all,add_01,20200709-subject-01/20200709_144735,8,residual,576,38700.0
all,add_01,20200709-subject-01/20200709_144735,8,s0_l1,576,44800.0
all,add_01,20200709-subject-01/20200709_144735,8,s0_l0,576,45200.0
all,add_01,20200709-subject-01/20200709_144735,8,s1_l1,576,43900.0
all,add_01,20200709-subject-01/20200709_144735,8,s1_l0,576,44200.0
all,add_01,20200709-subject-01/20200709_144735,8,fp,576,49900.0
all,add_01,20200709-subject-01/20200709_145132,9,residual,592,57000.0
all,add_01,20200709-subject-01/20200709_145132,9,s0_l1,592,56200.0
all,add_01,20200709-subject-01/20200709_145132,9,s0_l0,592,56100.0
all,add_01,20200709-subject-01/20200709_145132,9,s1_l1,592,55900.0
all,add_01,20200709-subject-01/20200709_145132,9,s1_l0,592,56000.0
all,add_01,20200709-subject-01/20200709_145132,9,fp,592,56600.0
